file,class,method,variable,usage
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/Driver.java,org.traccar.model.Driver,getUniqueId/0,uniqueId,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/Driver.java,org.traccar.model.Driver,getName/0,name,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/Driver.java,org.traccar.model.Driver,setName/1[java.lang.String],name,3
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/Driver.java,org.traccar.model.Driver,setUniqueId/1[java.lang.String],uniqueId,3
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,getConfig/0,config,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,setConfig/1[org.traccar.Config],config,3
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Pt60ProtocolDecoder.java,org.traccar.protocol.Pt60ProtocolDecoder,"decode/3[org.traccar.protocol.Channel,java.net.SocketAddress,java.lang.Object]",MSG_G_STEP_COUNT,2
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Pt60ProtocolDecoder.java,org.traccar.protocol.Pt60ProtocolDecoder,"decode/3[org.traccar.protocol.Channel,java.net.SocketAddress,java.lang.Object]",PATTERN,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Pt60ProtocolDecoder.java,org.traccar.protocol.Pt60ProtocolDecoder,"decode/3[org.traccar.protocol.Channel,java.net.SocketAddress,java.lang.Object]",MSG_B_POSITION,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Pt60ProtocolDecoder.java,org.traccar.protocol.Pt60ProtocolDecoder,"decode/3[org.traccar.protocol.Channel,java.net.SocketAddress,java.lang.Object]",MSG_G_TRACK,2
