file,class,method,variable,usage
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/PuiProtocol.java,org.traccar.protocol.PuiProtocol,PuiProtocol/1[org.traccar.config.Config],config,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/PacificTrackProtocol.java,org.traccar.protocol.PacificTrackProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.PipelineBuilder,org.traccar.config.Config]",pipeline,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/PacificTrackProtocol.java,org.traccar.protocol.PacificTrackProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.PipelineBuilder,org.traccar.config.Config]",config,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/Driver.java,org.traccar.model.Driver,setName/1[java.lang.String],name,2
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/model/Driver.java,org.traccar.model.Driver,setUniqueId/1[java.lang.String],uniqueId,2
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/G1rusProtocol.java,org.traccar.protocol.G1rusProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.PipelineBuilder,org.traccar.config.Config]",pipeline,3
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/G1rusProtocol.java,org.traccar.protocol.G1rusProtocol$Anonymous1,"addProtocolHandlers/2[org.traccar.PipelineBuilder,org.traccar.config.Config]",config,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"handleEmptyMessage/3[org.traccar.Channel,java.net.SocketAddress,java.lang.Object]",msg,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"handleEmptyMessage/3[org.traccar.Channel,java.net.SocketAddress,java.lang.Object]",channel,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"handleEmptyMessage/3[org.traccar.Channel,java.net.SocketAddress,java.lang.Object]",remoteAddress,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"saveOriginal/2[java.lang.Object,java.lang.Object]",buf,2
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"saveOriginal/2[java.lang.Object,java.lang.Object]",decodedMessage,2
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"saveOriginal/2[java.lang.Object,java.lang.Object]",position,2
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"saveOriginal/2[java.lang.Object,java.lang.Object]",originalMessage,4
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"channelRead/2[org.traccar.ChannelHandlerContext,java.lang.Object]",msg,1
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/ExtendedObjectDecoder.java,org.traccar.ExtendedObjectDecoder,"channelRead/2[org.traccar.ChannelHandlerContext,java.lang.Object]",ctx,9
