class,qtd_refactorings,bugs_5.10,bugs_5.11
org.traccar.session.cache.CacheManager,31,5,5
org.traccar.session.ConnectionManager,11,3,3
org.traccar.broadcast.BroadcastMessage,7,8,10
org.traccar.api.signature.TokenManager,6,1,1
org.traccar.api.security.LoginService,5,2,2
org.traccar.api.resource.PermissionsResource,4,1,1
org.traccar.broadcast.RedisBroadcastService,3,3,3
org.traccar.protocol.Gt06ProtocolDecoder,1,1,1
org.traccar.notification.NotificationFormatter,1,1,1
org.traccar.BaseProtocolDecoder,1,4,4
org.traccar.broadcast.MulticastBroadcastService,1,2,2
org.traccar.database.NotificationManager,1,3,3
org.traccar.notificators.NotificatorFirebase,1,4,4
org.traccar.notificators.NotificatorTraccar,1,2,2
org.traccar.BasePipelineFactory,1,1,1
org.traccar.database.DeviceLookupService,1,1,1
