class,qtd_refactorings,bugs_6.4,bugs_6.5
org.traccar.model.Position,31,9,9
org.traccar.protocol.Gt06ProtocolDecoder,5,3,3
org.traccar.protocol.HuabaoProtocolDecoder,2,1,1
org.traccar.broadcast.MulticastBroadcastService,1,2,2
org.traccar.broadcast.RedisBroadcastService,1,3,3
org.traccar.protocol.FleetGuideProtocolDecoder,1,1,1
org.traccar.protocol.KhdProtocolDecoder,1,1,1
org.traccar.protocol.SuntechProtocolDecoder,1,3,3
org.traccar.protocol.T800xProtocolDecoder,1,2,2
org.traccar.protocol.TranSyncProtocolDecoder,1,1,1
org.traccar.protocol.Minifinder2ProtocolDecoder,1,2,2
org.traccar.handler.ComputedAttributesHandler,1,1,1
org.traccar.handler.CopyAttributesHandler,1,1,1
org.traccar.handler.DatabaseHandler,1,1,1
org.traccar.handler.DistanceHandler,1,1,1
org.traccar.handler.EngineHoursHandler,1,1,1
org.traccar.handler.FilterHandler,1,2,2
org.traccar.handler.GeocoderHandler,1,2,2
org.traccar.handler.GeofenceHandler,1,2,2
org.traccar.handler.GeolocationHandler,1,1,1
org.traccar.handler.MotionHandler,1,1,1
org.traccar.handler.OutdatedHandler,1,1,1
org.traccar.handler.PositionForwardingHandler,1,1,1
org.traccar.handler.PostProcessHandler,1,3,3
org.traccar.handler.events.BehaviorEventHandler,1,1,1
org.traccar.handler.events.DriverEventHandler,1,1,1
org.traccar.handler.events.FuelEventHandler,1,1,1
org.traccar.handler.events.GeofenceEventHandler,1,1,1
org.traccar.handler.events.IgnitionEventHandler,1,1,1
org.traccar.handler.events.MaintenanceEventHandler,1,1,1
org.traccar.handler.events.MotionEventHandler,1,2,2
org.traccar.handler.events.OverspeedEventHandler,1,2,2
