class,qtd_refactorings,bugs_6.6,bugs_6.7.0
org.traccar.model.ExtendedModel,38,1,1
org.traccar.protocol.Gt06ProtocolDecoder,5,3,3
org.traccar.model.Network,5,4,4
org.traccar.protocol.Gl200TextProtocolDecoder,5,3,2
org.traccar.database.OpenIdProvider,5,1,2
org.traccar.protocol.UproProtocolDecoder,4,1,1
org.traccar.protocol.GlobalstarProtocolDecoder,3,2,2
org.traccar.protocol.TrvProtocolDecoder,2,2,2
org.traccar.database.CommandsManager,2,2,3
org.traccar.notificators.NotificatorFirebase,2,4,2
org.traccar.handler.ComputedAttributesHandler,1,1,1
org.traccar.schedule.TaskReports,1,1,2
org.traccar.protocol.Minifinder2ProtocolDecoder,1,2,2
org.traccar.protocol.HuabaoProtocolDecoder,1,1,1
