class,qtd_refactorings
org.traccar.reports.common.ReportUtils,33
org.traccar.protocol.TranSyncProtocolDecoder,31
org.traccar.reports.SummaryReportProvider,10
org.traccar.handler.events.GeofenceEventHandler,6
org.traccar.reports.common.TripsConfig,6
src.test.java.org.traccar.reports.ReportUtilsTest,5
org.traccar.model.Position,4
org.traccar.model.Device,4
org.traccar.model.Calendar,3
org.traccar.schedule.TaskReports,3
src.test.java.org.traccar.calendar.CalendarTest,3
org.traccar.helper.model.AttributeUtil,3
org.traccar.model.ExtendedModel,3
org.traccar.web.CharResponseWrapper,3
org.traccar.handler.events.MotionEventHandler,2
org.traccar.web.OverrideFilter,2
org.traccar.api.resource.CommandResource,1
org.traccar.protocol.Tk103ProtocolDecoder,1
org.traccar.handler.MotionHandler,1
org.traccar.web.ResponseWrapper,1
