class,qtd_refactorings
org.traccar.model.ExtendedModel,38
org.traccar.helper.LogAction,27
src.test.java.org.traccar.ProtocolTest,20
org.traccar.protocol.OsmAndProtocolDecoder,9
org.traccar.EventLoopGroupFactory,8
org.traccar.protocol.Gt06ProtocolDecoder,5
org.traccar.model.Network,5
org.traccar.protocol.Gl200TextProtocolDecoder,5
org.traccar.database.OpenIdProvider,5
org.traccar.protocol.LacakProtocolDecoder,5
org.traccar.protocol.UproProtocolDecoder,4
org.traccar.protocol.HuabaoProtocolEncoder,3
org.traccar.protocol.WialonProtocolDecoder,3
org.traccar.protocol.GlobalstarProtocolDecoder,3
org.traccar.protocol.TrvProtocolDecoder,2
org.traccar.database.CommandsManager,2
org.traccar.notificators.NotificatorFirebase,2
src.test.java.org.traccar.protocol.OsmAndProtocolDecoderTest,2
org.traccar.api.resource.SessionResource,2
org.traccar.sms.SnsSmsClient,2
org.traccar.handler.ComputedAttributesHandler,1
org.traccar.api.ResourceErrorHandler,1
org.traccar.reports.common.TripsConfig,1
org.traccar.protocol.MobilogixProtocolDecoder,1
org.traccar.geocoder.GeocodeFarmGeocoder,1
org.traccar.MainModule,1
org.traccar.helper.SessionHelper,1
org.traccar.schedule.TaskReports,1
org.traccar.protocol.Minifinder2ProtocolDecoder,1
org.traccar.protocol.HuabaoProtocolDecoder,1
src.test.java.org.traccar.protocol.LacakProtocolDecoderTest,1
org.traccar.geocoder.BanGeocoder,1
