commit,refactoring_type,description,file_path,class
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Change Type Declaration Kind,Change Type Declaration Kind class to record in type org.traccar.notification.NotificationMessage,src/main/java/org/traccar/notification/NotificationMessage.java,org.traccar.notification.NotificationMessage
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Remove Parameter Annotation,"Remove Parameter Annotation @JsonProperty(""subject"") in parameter subject : String in method public NotificationMessage(subject String, body String) from class org.traccar.notification.NotificationMessage",src/main/java/org/traccar/notification/NotificationMessage.java,org.traccar.notification.NotificationMessage
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Remove Parameter Annotation,"Remove Parameter Annotation @JsonProperty(""subject"") in parameter subject : String in method public NotificationMessage(subject String, body String) from class org.traccar.notification.NotificationMessage",src/main/java/org/traccar/notification/NotificationMessage.java,org.traccar.notification.NotificationMessage
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Remove Parameter Annotation,"Remove Parameter Annotation @JsonProperty(""body"") in parameter body : String in method public NotificationMessage(subject String, body String) from class org.traccar.notification.NotificationMessage",src/main/java/org/traccar/notification/NotificationMessage.java,org.traccar.notification.NotificationMessage
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Remove Parameter Annotation,"Remove Parameter Annotation @JsonProperty(""body"") in parameter body : String in method public NotificationMessage(subject String, body String) from class org.traccar.notification.NotificationMessage",src/main/java/org/traccar/notification/NotificationMessage.java,org.traccar.notification.NotificationMessage
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Remove Method Annotation,"Remove Method Annotation @JsonCreator(mode = JsonCreator.Mode.PROPERTIES) in method public NotificationMessage(subject String, body String) from class org.traccar.notification.NotificationMessage",src/main/java/org/traccar/notification/NotificationMessage.java,org.traccar.notification.NotificationMessage
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Add Parameter,"Add Parameter priority : boolean in method public formatMessage(velocityContext VelocityContext, name String, templatePath String, priority boolean) : NotificationMessage from class org.traccar.notification.TextTemplateFormatter",src/main/java/org/traccar/notification/TextTemplateFormatter.java,org.traccar.notification.TextTemplateFormatter
6470d3a1ad577d1939a8cd36d3880f231fa26d2b,Add Parameter,"Add Parameter priority : boolean in method public formatMessage(velocityContext VelocityContext, name String, templatePath String, priority boolean) : NotificationMessage from class org.traccar.notification.TextTemplateFormatter",src/main/java/org/traccar/notification/TextTemplateFormatter.java,org.traccar.notification.TextTemplateFormatter
4327f1c98a19a6bdc1005c1c552bd4dc8fc04d7a,Split Conditional,"Split Conditional if((values.length - index >= 2 && !protocol.startsWith(""ST3"")) || (protocol.startsWith(""ST3"") && model == 45)) to [if(values.length - index >= 2), if(protocol.startsWith(""ST3""))] in method private decode2356(channel Channel, remoteAddress SocketAddress, protocol String, values String[]) : Position from class org.traccar.protocol.SuntechProtocolDecoder",src/main/java/org/traccar/protocol/SuntechProtocolDecoder.java,org.traccar.protocol.SuntechProtocolDecoder
4327f1c98a19a6bdc1005c1c552bd4dc8fc04d7a,Split Conditional,"Split Conditional if((values.length - index >= 2 && !protocol.startsWith(""ST3"")) || (protocol.startsWith(""ST3"") && model == 45)) to [if(values.length - index >= 2), if(protocol.startsWith(""ST3""))] in method private decode2356(channel Channel, remoteAddress SocketAddress, protocol String, values String[]) : Position from class org.traccar.protocol.SuntechProtocolDecoder",src/main/java/org/traccar/protocol/SuntechProtocolDecoder.java,org.traccar.protocol.SuntechProtocolDecoder
4327f1c98a19a6bdc1005c1c552bd4dc8fc04d7a,Split Conditional,"Split Conditional if((values.length - index >= 2 && !protocol.startsWith(""ST3"")) || (protocol.startsWith(""ST3"") && model == 45)) to [if(values.length - index >= 2), if(protocol.startsWith(""ST3""))] in method private decode2356(channel Channel, remoteAddress SocketAddress, protocol String, values String[]) : Position from class org.traccar.protocol.SuntechProtocolDecoder",src/main/java/org/traccar/protocol/SuntechProtocolDecoder.java,org.traccar.protocol.SuntechProtocolDecoder
4327f1c98a19a6bdc1005c1c552bd4dc8fc04d7a,Extract Variable,"Extract Variable hbm : int in method private decode2356(channel Channel, remoteAddress SocketAddress, protocol String, values String[]) : Position from class org.traccar.protocol.SuntechProtocolDecoder",src/main/java/org/traccar/protocol/SuntechProtocolDecoder.java,org.traccar.protocol.SuntechProtocolDecoder
