class,bug_type,priority,category,sourcefile,sourcepath,start_line,end_line
org.traccar.BaseDataHandler,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,2,STYLE,BaseDataHandler.java,org/traccar/BaseDataHandler.java,22,34
org.traccar.BaseProtocol,EI_EXPOSE_REP,2,MALICIOUS_CODE,BaseProtocol.java,org/traccar/BaseProtocol.java,39,141
org.traccar.BaseProtocol,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BaseProtocol.java,org/traccar/BaseProtocol.java,39,141
org.traccar.BaseProtocolDecoder,EI_EXPOSE_REP,2,MALICIOUS_CODE,BaseProtocolDecoder.java,org/traccar/BaseProtocolDecoder.java,55,214
org.traccar.BaseProtocolDecoder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BaseProtocolDecoder.java,org/traccar/BaseProtocolDecoder.java,55,214
org.traccar.BaseProtocolDecoder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BaseProtocolDecoder.java,org/traccar/BaseProtocolDecoder.java,55,214
org.traccar.BaseProtocolDecoder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BaseProtocolDecoder.java,org/traccar/BaseProtocolDecoder.java,55,214
org.traccar.BaseProtocolEncoder,EI_EXPOSE_REP,2,MALICIOUS_CODE,BaseProtocolEncoder.java,org/traccar/BaseProtocolEncoder.java,34,106
org.traccar.BaseProtocolEncoder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BaseProtocolEncoder.java,org/traccar/BaseProtocolEncoder.java,34,106
org.traccar.EventLoopGroupFactory,MS_EXPOSE_REP,2,MALICIOUS_CODE,EventLoopGroupFactory.java,org/traccar/EventLoopGroupFactory.java,23,34
org.traccar.EventLoopGroupFactory,MS_EXPOSE_REP,2,MALICIOUS_CODE,EventLoopGroupFactory.java,org/traccar/EventLoopGroupFactory.java,23,34
org.traccar.ExtendedObjectDecoder,EI_EXPOSE_REP,2,MALICIOUS_CODE,ExtendedObjectDecoder.java,org/traccar/ExtendedObjectDecoder.java,34,98
org.traccar.ExtendedObjectDecoder,EI_EXPOSE_REP2,2,MALICIOUS_CODE,ExtendedObjectDecoder.java,org/traccar/ExtendedObjectDecoder.java,34,98
org.traccar.ExtendedObjectDecoder,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,2,STYLE,ExtendedObjectDecoder.java,org/traccar/ExtendedObjectDecoder.java,34,98
org.traccar.MainEventHandler,EI_EXPOSE_REP2,2,MALICIOUS_CODE,MainEventHandler.java,org/traccar/MainEventHandler.java,54,189
org.traccar.MainEventHandler,EI_EXPOSE_REP2,2,MALICIOUS_CODE,MainEventHandler.java,org/traccar/MainEventHandler.java,54,189
org.traccar.MainEventHandler,EI_EXPOSE_REP2,2,MALICIOUS_CODE,MainEventHandler.java,org/traccar/MainEventHandler.java,54,189
org.traccar.PositionForwardingHandler,EI_EXPOSE_REP2,2,MALICIOUS_CODE,PositionForwardingHandler.java,org/traccar/PositionForwardingHandler.java,43,138
org.traccar.ServerManager,CT_CONSTRUCTOR_THROW,2,BAD_PRACTICE,ServerManager.java,org/traccar/ServerManager.java,42,92
org.traccar.TrackerClient,EI_EXPOSE_REP,2,MALICIOUS_CODE,TrackerClient.java,org/traccar/TrackerClient.java,44,123
org.traccar.TrackerClient,EI_EXPOSE_REP,2,MALICIOUS_CODE,TrackerClient.java,org/traccar/TrackerClient.java,44,123
org.traccar.TrackerServer,EI_EXPOSE_REP,2,MALICIOUS_CODE,TrackerServer.java,org/traccar/TrackerServer.java,46,129
org.traccar.WindowsService$ServiceMain,DM_EXIT,2,BAD_PRACTICE,WindowsService.java,org/traccar/WindowsService.java,173,202
org.traccar.WindowsService$ServiceMain,UW_UNCOND_WAIT,2,MT_CORRECTNESS,WindowsService.java,org/traccar/WindowsService.java,173,202
org.traccar.WindowsService$ServiceMain,WA_NOT_IN_LOOP,2,MT_CORRECTNESS,WindowsService.java,org/traccar/WindowsService.java,173,202
org.traccar.WrapperOutboundHandler,EI_EXPOSE_REP,2,MALICIOUS_CODE,WrapperOutboundHandler.java,org/traccar/WrapperOutboundHandler.java,29,97
org.traccar.WrapperOutboundHandler,EI_EXPOSE_REP2,2,MALICIOUS_CODE,WrapperOutboundHandler.java,org/traccar/WrapperOutboundHandler.java,29,97
org.traccar.api.AsyncSocket,EI_EXPOSE_REP2,2,MALICIOUS_CODE,AsyncSocket.java,org/traccar/api/AsyncSocket.java,39,112
org.traccar.api.AsyncSocket,EI_EXPOSE_REP2,2,MALICIOUS_CODE,AsyncSocket.java,org/traccar/api/AsyncSocket.java,39,112
org.traccar.api.AsyncSocket,EI_EXPOSE_REP2,2,MALICIOUS_CODE,AsyncSocket.java,org/traccar/api/AsyncSocket.java,39,112
org.traccar.api.AsyncSocketServlet,EI_EXPOSE_REP2,2,MALICIOUS_CODE,AsyncSocketServlet.java,org/traccar/api/AsyncSocketServlet.java,42,61
org.traccar.api.AsyncSocketServlet,EI_EXPOSE_REP2,2,MALICIOUS_CODE,AsyncSocketServlet.java,org/traccar/api/AsyncSocketServlet.java,42,61
org.traccar.api.AsyncSocketServlet,EI_EXPOSE_REP2,2,MALICIOUS_CODE,AsyncSocketServlet.java,org/traccar/api/AsyncSocketServlet.java,42,61
org.traccar.api.AsyncSocketServlet,EI_EXPOSE_REP2,2,MALICIOUS_CODE,AsyncSocketServlet.java,org/traccar/api/AsyncSocketServlet.java,42,61
org.traccar.api.AsyncSocketServlet,SE_BAD_FIELD,2,BAD_PRACTICE,AsyncSocketServlet.java,org/traccar/api/AsyncSocketServlet.java,42,61
org.traccar.api.AsyncSocketServlet,SE_BAD_FIELD,2,BAD_PRACTICE,AsyncSocketServlet.java,org/traccar/api/AsyncSocketServlet.java,42,61
org.traccar.api.MediaFilter,EI_EXPOSE_REP2,2,MALICIOUS_CODE,MediaFilter.java,org/traccar/api/MediaFilter.java,54,104
org.traccar.api.resource.PermissionsResource,NS_NON_SHORT_CIRCUIT,1,STYLE,PermissionsResource.java,org/traccar/api/resource/PermissionsResource.java,43,112
org.traccar.api.security.LoginService,EI_EXPOSE_REP2,2,MALICIOUS_CODE,LoginService.java,org/traccar/api/security/LoginService.java,47,97
org.traccar.api.security.PermissionsService,EI_EXPOSE_REP,2,MALICIOUS_CODE,PermissionsService.java,org/traccar/api/security/PermissionsService.java,48,209
org.traccar.api.security.PermissionsService,EI_EXPOSE_REP,2,MALICIOUS_CODE,PermissionsService.java,org/traccar/api/security/PermissionsService.java,48,209
org.traccar.api.security.PermissionsService,EI_EXPOSE_REP2,2,MALICIOUS_CODE,PermissionsService.java,org/traccar/api/security/PermissionsService.java,48,209
org.traccar.api.signature.CryptoManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,CryptoManager.java,org/traccar/api/signature/CryptoManager.java,46,101
org.traccar.api.signature.KeystoreModel,EI_EXPOSE_REP,2,MALICIOUS_CODE,KeystoreModel.java,org/traccar/api/signature/KeystoreModel.java,22,42
org.traccar.api.signature.KeystoreModel,EI_EXPOSE_REP,2,MALICIOUS_CODE,KeystoreModel.java,org/traccar/api/signature/KeystoreModel.java,22,42
org.traccar.api.signature.KeystoreModel,EI_EXPOSE_REP2,2,MALICIOUS_CODE,KeystoreModel.java,org/traccar/api/signature/KeystoreModel.java,22,42
org.traccar.api.signature.KeystoreModel,EI_EXPOSE_REP2,2,MALICIOUS_CODE,KeystoreModel.java,org/traccar/api/signature/KeystoreModel.java,22,42
org.traccar.api.signature.TokenManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,TokenManager.java,org/traccar/api/signature/TokenManager.java,46,74
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.BroadcastMessage,EI_EXPOSE_REP2,2,MALICIOUS_CODE,BroadcastMessage.java,org/traccar/broadcast/BroadcastMessage.java,24,84
org.traccar.broadcast.MulticastBroadcastService,CT_CONSTRUCTOR_THROW,2,BAD_PRACTICE,MulticastBroadcastService.java,org/traccar/broadcast/MulticastBroadcastService.java,45,177
org.traccar.broadcast.MulticastBroadcastService,EI_EXPOSE_REP2,2,MALICIOUS_CODE,MulticastBroadcastService.java,org/traccar/broadcast/MulticastBroadcastService.java,45,177
org.traccar.config.Config,CT_CONSTRUCTOR_THROW,2,BAD_PRACTICE,Config.java,org/traccar/config/Config.java,34,153
org.traccar.database.CommandsManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,CommandsManager.java,org/traccar/database/CommandsManager.java,55,125
org.traccar.database.CommandsManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,CommandsManager.java,org/traccar/database/CommandsManager.java,55,125
org.traccar.database.DeviceLookupService,EI_EXPOSE_REP2,2,MALICIOUS_CODE,DeviceLookupService.java,org/traccar/database/DeviceLookupService.java,41,138
org.traccar.database.NotificationManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,NotificationManager.java,org/traccar/database/NotificationManager.java,52,155
org.traccar.database.NotificationManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,NotificationManager.java,org/traccar/database/NotificationManager.java,52,155
org.traccar.database.NotificationManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,NotificationManager.java,org/traccar/database/NotificationManager.java,52,155
org.traccar.database.StatisticsManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,StatisticsManager.java,org/traccar/database/StatisticsManager.java,47,186
org.traccar.database.StatisticsManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,StatisticsManager.java,org/traccar/database/StatisticsManager.java,47,186
org.traccar.database.StatisticsManager,EI_EXPOSE_REP2,2,MALICIOUS_CODE,StatisticsManager.java,org/traccar/database/StatisticsManager.java,47,186
org.traccar.forward.EventData,EI_EXPOSE_REP,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP2,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP2,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP2,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP2,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventData,EI_EXPOSE_REP2,2,MALICIOUS_CODE,EventData.java,org/traccar/forward/EventData.java,26,76
org.traccar.forward.EventForwarderKafka,EI_EXPOSE_REP2,2,MALICIOUS_CODE,EventForwarderKafka.java,org/traccar/forward/EventForwarderKafka.java,35,56
