class,bugs_5.4
org.traccar.BaseDataHandler,1
org.traccar.BaseProtocol,2
org.traccar.BaseProtocolDecoder,4
org.traccar.BaseProtocolEncoder,2
org.traccar.EventLoopGroupFactory,2
org.traccar.ExtendedObjectDecoder,3
org.traccar.MainEventHandler,3
org.traccar.ServerManager,1
org.traccar.TrackerClient,2
org.traccar.TrackerServer,1
org.traccar.WebDataHandler,2
org.traccar.WebDataHandler$AsyncRequestAndCallback,1
org.traccar.WindowsService$ServiceMain,3
org.traccar.WrapperOutboundHandler,2
org.traccar.api.AsyncSocket,3
org.traccar.api.AsyncSocketServlet,6
org.traccar.api.MediaFilter,1
org.traccar.api.resource.PermissionsResource,1
org.traccar.api.security.LoginService,1
org.traccar.api.security.PermissionsService,3
org.traccar.api.signature.CryptoManager,1
org.traccar.api.signature.KeystoreModel,4
org.traccar.api.signature.TokenManager,1
org.traccar.broadcast.BroadcastMessage,8
org.traccar.broadcast.MulticastBroadcastService,2
org.traccar.config.Config,1
org.traccar.database.CommandsManager,2
org.traccar.database.DeviceLookupService,1
org.traccar.database.NotificationManager,3
org.traccar.database.StatisticsManager,3
org.traccar.geofence.GeofenceCircle,1
org.traccar.geofence.GeofencePolygon,1
org.traccar.geofence.GeofencePolyline,1
org.traccar.handler.ComputedAttributesHandler,1
org.traccar.handler.CopyAttributesHandler,1
org.traccar.handler.DefaultDataHandler,1
org.traccar.handler.DistanceHandler,1
org.traccar.handler.EngineHoursHandler,1
org.traccar.handler.FilterHandler,2
org.traccar.handler.GeocoderHandler,3
org.traccar.handler.GeocoderHandler$1,2
org.traccar.handler.GeolocationHandler,2
org.traccar.handler.GeolocationHandler$1,2
org.traccar.handler.NetworkMessageHandler,1
org.traccar.handler.RemoteAddressHandler,1
org.traccar.handler.SpeedLimitHandler,1
org.traccar.handler.SpeedLimitHandler$1,2
org.traccar.handler.TimeHandler,1
org.traccar.handler.events.AlertEventHandler,1
org.traccar.handler.events.BehaviorEventHandler,1
org.traccar.handler.events.DriverEventHandler,1
org.traccar.handler.events.FuelEventHandler,1
org.traccar.handler.events.GeofenceEventHandler,4
org.traccar.handler.events.IgnitionEventHandler,1
org.traccar.handler.events.MaintenanceEventHandler,1
org.traccar.handler.events.MotionEventHandler,2
org.traccar.handler.events.OverspeedEventHandler,2
org.traccar.helper.BitBuffer,1
org.traccar.helper.Checksum,1
org.traccar.helper.ObjectMapperContextResolver,2
org.traccar.mail.SmtpMailManager,1
org.traccar.model.Calendar,2
org.traccar.model.Device,9
org.traccar.model.Event,2
org.traccar.model.ExtendedModel,1
org.traccar.model.Network,4
org.traccar.model.Permission,2
org.traccar.model.Position,8
org.traccar.model.Server,2
org.traccar.model.Statistics,4
org.traccar.model.User,2
org.traccar.notification.EventForwarder,1
org.traccar.notification.NotificationFormatter,1
org.traccar.notification.PropertiesProvider,3
org.traccar.notification.TextTemplateFormatter,1
org.traccar.notificators.NotificatorFirebase,2
org.traccar.notificators.NotificatorPushover$Message,4
org.traccar.notificators.NotificatorTelegram$LocationMessage,5
org.traccar.notificators.NotificatorTelegram$TextMessage,2
org.traccar.notificators.NotificatorTraccar$Message,2
org.traccar.notificators.NotificatorTraccar$Notification,3
org.traccar.notificators.NotificatorWeb,1
org.traccar.protobuf.dolphin.Config.DolphinConfig,1
org.traccar.protobuf.dolphin.Config.DolphinConfig$BoolDiffItem,5
