release,loc_mean,loc_median,loc_var,wmc_mean,wmc_median,wmc_var,dit_mean,dit_median,dit_var,noc_mean,noc_median,noc_var,cbo_mean,cbo_median,cbo_var,lcom_mean,lcom_median,lcom_var,rfc_mean,rfc_median,rfc_var
v5.3,57.4562,28.0,7885.4808,12.9389,6.0,589.82,2.0323,2.0,0.4091,0.1624,0.0,2.0208,6.9482,5.0,27.0653,9.015,0.0,2799.2613,16.2005,8.0,363.0704
v5.4,57.2466,28.0,7892.402,12.8592,6.0,586.8552,1.991,2.0,0.3625,0.1306,0.0,1.2532,6.8795,5.0,25.2276,9.2511,0.0,3002.5867,16.1678,8.0,361.6171
v5.5,57.2685,28.0,7938.3172,12.8602,6.0,590.0509,1.9855,2.0,0.37,0.1298,0.0,1.2449,6.8859,5.0,25.8707,9.2472,0.0,2992.9132,16.1532,8.0,364.2573
v5.6,57.3112,28.0,8126.4491,12.9103,6.0,607.6431,1.9801,2.0,0.3783,0.1307,0.0,1.2387,6.8959,5.0,26.2239,9.4109,0.0,3194.6208,16.1307,8.0,365.0726
v5.7,57.9639,28.0,8315.9932,13.0219,6.0,620.2624,1.977,2.0,0.3752,0.1336,0.0,1.2987,6.9912,5.0,27.8422,9.609,0.0,3538.8493,16.3286,8.0,368.5054
v5.8,58.3649,28.5,8757.3581,13.1242,6.0,657.8038,1.9935,2.0,0.4117,0.1329,0.0,1.2917,7.0142,5.0,28.356,9.6612,0.0,3720.2785,16.3671,8.0,373.2607
v5.9,58.8103,29.0,9122.2076,13.3071,6.0,706.7839,1.9849,2.0,0.3963,0.1325,0.0,1.3305,7.0216,5.0,28.6676,9.6487,0.0,3741.4003,16.3782,8.0,373.5046
v5.10,58.8292,29.0,9282.0925,13.333,6.0,725.3235,1.9893,2.0,0.4033,0.1313,0.0,1.3328,7.032,5.0,29.1559,9.6724,0.0,3935.3814,16.3831,8.0,374.4306
v5.11,58.8685,29.0,9301.9848,13.3552,6.0,730.9077,1.9618,2.0,0.3591,0.1283,0.0,1.2932,6.878,5.0,27.9798,9.7094,0.0,4164.274,16.2609,8.0,363.8704
v5.12,58.9767,29.0,9412.8037,13.3799,6.0,737.8694,1.9598,2.0,0.3582,0.128,0.0,1.2905,6.8772,5.0,28.0146,9.6942,0.0,4155.5541,16.2529,8.0,364.426
v6.0,59.1545,28.0,9830.6901,13.4447,6.0,781.5851,1.9489,2.0,0.3408,0.1472,0.0,1.5389,6.8873,5.0,28.4633,9.8006,0.0,4165.1471,16.2422,8.0,363.9247
v6.1,59.1576,28.0,9837.3729,13.4478,6.0,782.2661,1.9489,2.0,0.3408,0.1472,0.0,1.5389,6.8883,5.0,28.4562,9.8006,0.0,4165.1471,16.2443,8.0,363.9633
v6.2,59.5031,28.0,9905.1149,13.4678,6.0,787.8664,1.948,2.0,0.3403,0.1455,0.0,1.5048,6.7432,5.0,27.5256,9.6227,0.0,3702.0666,16.2464,8.0,365.2272
v6.3,56.4146,27.0,8731.1365,12.4573,5.0,697.0982,1.9562,2.0,0.3356,0.151,0.0,1.5241,6.6708,5.0,23.8854,9.75,0.0,3843.5375,15.8531,8.0,350.6503
v6.4,56.4552,27.0,8751.9272,12.4646,5.0,698.98,1.9562,2.0,0.3356,0.151,0.0,1.5241,6.674,5.0,24.0989,9.7438,0.0,3843.4468,15.8615,8.0,351.411
v6.5,56.5426,27.0,8901.2939,12.4948,5.0,714.6429,1.9532,2.0,0.3315,0.1518,0.0,1.5549,6.6798,5.0,24.0264,9.8098,0.0,3897.4409,15.9854,8.0,357.6318
v6.6,56.9886,27.0,9386.7988,12.6466,5.0,755.8803,1.9544,2.0,0.344,0.1554,0.0,1.5655,6.6788,5.0,24.3155,9.8249,0.0,3887.5579,16.057,8.0,364.5035
v6.7.0,57.7,27.0,10139.7213,12.8567,5.0,829.5949,1.9608,2.0,0.3572,0.1567,0.0,1.5858,6.7031,5.0,25.3201,9.9443,0.0,3906.7845,16.1371,8.0,372.7596
v6.7.1,57.7144,27.0,10155.569,12.8619,5.0,830.3541,1.9608,2.0,0.3572,0.1567,0.0,1.5858,6.7031,5.0,25.3201,9.9381,0.0,3903.456,16.1299,8.0,372.5687
v6.7.2,57.7699,27.0,10165.7045,12.8741,5.0,831.2927,1.9618,2.0,0.3566,0.1569,0.0,1.5874,6.7079,5.0,25.3234,9.9484,0.0,3907.3823,16.1496,8.0,372.8063
